,HBCU,INSTNM,BBRR4_FED_PELL_DFLT,BBRR4_FED_PELL_PAIDINFULL,PELL_DEBT_MDN,COSTT4_A,ADM_RATE,C150_4_PELL,RET_FT4,MD_EARN_WNE_P6
2683,0.0,The  Beauty Institute,PS,PS,,,,,,15153.0
2684,0.0,DeSales University,0.07-0.08,0.09-0.10,21705.0,56928.0,0.7717,0.6017,0.7765,52721.0
2685,0.0,Altoona Beauty School Inc,PS,PS,7547.0,,,,,18265.0
2686,0.0,Alvernia University,0.09-0.10,0.07-0.08,22039.0,53109.0,0.59,0.5321,0.6808,49938.0
2687,0.0,The Beauty Institute-Ambler,0.20-0.39,<=0.20,8028.0,,,,,19887.0
2688,0.0,American College of Financial Services,PS,PS,,,,,,
2689,0.0,Automotive Training Center-Exton,0.20-0.29,<=0.10,12359.0,,,,,43576.0
2690,0.0,Clarks Summit University,<=0.10,0.10-0.19,15750.0,35824.0,0.652,0.6818,0.6613,35009.0
2691,0.0,Community College of Beaver County,0.15-0.19,0.05-0.09,9500.0,11376.0,,,,38184.0
2692,0.0,Arcadia University,0.05,0.10,22125.0,60526.0,0.7757,0.555,0.7969,44004.0
2693,0.0,Missio Theological Seminary,PS,PS,,,,,,
2694,0.0,Bryn Mawr College,<=0.05,0.20-0.24,20683.0,75690.0,0.3075,0.7722,0.9028,53102.0
2695,0.0,Bucknell University,0.05-0.09,0.25-0.29,21313.0,77740.0,0.3255,0.8333,0.9058,78852.0
2696,0.0,Bucks County Community College,0.09-0.10,0.07-0.08,9500.0,12437.0,,,,39454.0
2697,0.0,Bucks County School of Beauty Culture Inc,PS,PS,,,,,,23274.0
2698,0.0,Butler Beauty Academy,PS,PS,,,,,,18947.0
2699,0.0,Butler County Community College,0.10-0.14,0.10-0.14,4495.0,10801.0,,,,33920.0
2700,0.0,Cabrini University,0.13-0.14,0.09-0.10,20162.0,48016.0,0.7852,0.4261,0.7483,42193.0
2701,0.0,Carlow University,0.05-0.09,0.05-0.09,23250.0,44265.0,0.927,0.4909,0.7624,44876.0
